Year,Crocodile Reference Number,Date Sighted,Crocodile of Concern,Resolved crocodile of concern,Crocodile confirmed by EHP officer,Zones 1 or 2,Crocodile Management Plan, Local Government Authority,"Crocodile Management Plan Zone Objectives (Zone 1 - Remove; Zone 2 - remove crocodiles 2 m and greater or aggressive crocodile, Zone 2 - CAIRNS; Zone 3 - remove crocodiles of concern)",South of the  Boyne River,Crocodile attack or behaving aggressively,Location or crocodile behaviour is a threat,crocodile prevention barrier and stock ,"crocodile urban management area  (CUMA), Gladstone, Mackay, Rockhampton Local Government Authorities",Describe COC assessment,Outcome,Date crocodile removed,Is there an imminent threat to human safety,date of contact with EHP,"Species,freshwater(Crocodylus johnstoni), estuarine ( Crocodylus porsus)",number of crocodiles,size of largest crocodile (m) (estimate),were tracks left,nest or slide present,location of Crocodile,latitude,longitude,name of river creek beach or waterhole,"type of habitat e.g. vegetated land, open water, mad/mangroves, sand",nearest public area,"public use type e.g. swimming, fishing, boating, camping",intensity of use at time of sighting,additional comments intensity of use,all parts of crocodile exposed,eye part of crocodile exposed,head part of crocodile exposed,tail part of crocodile exposed,head and back part of crocodile exposed,gait high,gait sliding,gait running,gait walking,gait swimming,moving quickly or slowly,direction of travel of crocodile,Is the crocodile 2 m or greater,Is the croc in a well known habitat,Is the crocodile moving through,food source fish frame,food source abbattoir,food source crab pots,food source smelly bins,food source boat ramp,food source dugong,food source turtle,Food Animal carcass
2010,2010001,2/1/2010,no,n/a,yes,n/a,n/a,n/a,n/a,no,no,no,no,no,n/a,no further action,n/a,n/a,2/1/2010,Crocodylus porsus,1,3,no,yes,"On the northern bank of the Fitzroy River, in a small stream opposite Gaviel Creek in mangroves",-23.391479,150.537065,"Fitzroy River, lower salt water section",Mangroves and river on the bank,Rockhampton Town reach and old boat ramp,"Fishing, boating and cast netting, some people observed cast netting in the area in the water",moderate,n/a,no,no,no,yes,yes,no,no,no,yes,yes,slowly,"In the area, sunbaking and was startled",n/a,n/a,n/a,yes,yes,yes,no,no,no,no,n/a
2010,2010002,3/1/2010,no,n/a,no,n/a,n/a,n/a,n/a,no,no,yes,no,no,"If this is a saltie and of the size reported. We have received photos of crocodiles in Tinaroo over the years, however the only species that could be definitively determined have been freshies. There are unsubstantiated rumours of unsociable people having released salties in to the lake over the years.",no further action,n/a,n/a,29/01/2010,Unknown,1,4,n/a,n/a,On the dam wall side of Barrabadeen scout camp in the Torpedo Bay.,-345847.02,8102488.86,Lake Tinaroo,"Sheltered water adjacent to open forest, sandy shores.",Camp Barrbadeen - Scout camp on Danbulla Forest Drive on Lake Tinaroo.,"swimming, fishing, skiing, camping, sailing, windsurfing, canoeing",low,"A person's mate who heard from another bloke who has seen a big crocodile at this location out of a plane a few years ago, turned the plane around and flew back over it and he reckons it was a salty. This person has heard third hand of a bloke who has let at least size salties go in the dam over the years.",yes,no,no,no,no,no,no,no,no,yes,no data,Nowhere in particular. Surfaced then went back under the water.,n/a,n/a,n/a,yes,no,yes,no,yes,no,yes,n/a
2010,2010003,7/1/2010,no,n/a,no,n/a,n/a,n/a,n/a,no,no,yes,no,no,Animal is in moderate-high use public area and this situation always has the potential for threat. The area of sighting is outside the Urban Management Area for crocodiles and is primarily used for boating.,no further action,n/a,n/a,8/1/2010,Crocodylus porsus,1,2,no,yes,"Berth 1 - Townsvile Port, Ross Creek.",-19.2451,146.7853,Rowes Bay,Man-made breakwater at entrench to natural creek (with much man-made infrastructure).,Ross Creek Boat Ramp/Strand,boating,moderate,Animal was last seen 20m from the mouth of the Ross Creek,yes,no,no,no,no,no,yes,no,no,yes,slowly,Crocodile was observed for 15 minutes and was continually submerging. Was heading toward mouth of creek (out of Port) when last seen.,n/a,n/a,n/a,no,no,no,no,no,no,no,n/a
2010,2010004,7/1/2010,no,n/a,no,n/a,n/a,n/a,n/a,no,no,yes,no,no,Animal was sighted at the patrolled beach. SLSC closed the beach immediately and a recent sighting sign has been placed at the site to notify the public. Local radio station also ran a story informing the public of the sighting.,no further action,n/a,n/a,11/1/2010,Crocodylus porsus,1,3,no,no,Lamberts Beach - Slade Point. The animal was seen approximately 50m off shore in the patrolled area (see sat image).,-21.0753,149.2286,Lamberts's Beach. Satellite images provided.,"Open water, sand with rocky headlands.",Patrolled area along Lamberts Brach near public toilets.,"swimming, some fishing from beach, beach walking.",moderate,DERM has provided SLSC with recent sighting signs. Beach was closed immediately and re-opened at midday the following day. A recent sighting sign placed at the flagged area will be left at the sight for seven days.,no,no,no,no,yes,no,no,no,no,yes,slowly,"Animal was observed moving in a northerly direction, possibly heading for McCreadys Creek.",n/a,n/a,n/a,yes,no,no,no,no,yes,no,n/a
2010,2010005,7/1/2010,no,n/a,no,n/a,n/a,n/a,n/a,no,no,yes,no,no,Animal is in moderate-high use public area and this situation always has the potential for threat. The area of sighting is outside the Urban Management Area for crocodiles. The animal displayed normal reclusive behaviour when approached by a person,no further action,n/a,n/a,7/1/2010,Crocodylus porsus,1,2,no,yes,"Rowes Bay Beach, directly opposite the Rowes Bay Villas. Animal was 1st sighted on the beach facing a northerly direction",-19.2309,146.7853,Rowes Bay,Beachfront with minor mangrove creeks,Pallarenda boat ramp/ Strand,"walking on beach, fishing, some swimming from beach",moderate,n/a,yes,no,no,no,no,no,yes,no,no,yes,stationary,n/a,n/a,n/a,n/a,no,no,no,no,no,no,no,n/a
2010,2010006,10/1/2010,no,n/a,no,n/a,n/a,n/a,n/a,yes,no,no,no,no,"The animal is south of the Boyne River, people in this area are not aware or used to crocodiles",no further action,n/a,n/a,22/01/2010,Crocodylus porsus,1,unknown,no,no,Observed in the Hope Island Canal opposite Marina Quays Market place on the corner of Sickle Avenue and Pendraat Pde. Hope Island canal runs into the Coomera River.,-27.872276,153.365461,Gold Coast City Council,Hope Island Canal,Marina Quays precinct,"Shops, boardwalk, residential development along canal. Area used for boating and fishing",moderate,n/a,no,yes,yes,no,no,no,no,no,no,yes,no data,"Crocodile moved across the canal from north-east to south-west the crocodile was observed for 1-2 minutes as it moved across the canal, only its head and neck were stated as being above the water as it moved.",n/a,n/a,n/a,no,no,no,no,no,no,no,n/a
2010,2010007,11/1/2010,no,n/a,no,n/a,n/a,n/a,n/a,no,no,no,no,no,n/a,no further action,n/a,n/a,11/1/2010,Crocodylus porsus,1,2.5,no,no,Burdekin river,-20.644993,147.139378,Burdekin river,"Burdekin weir wall. V shape in the wall, in the middle of the V this is where the crocodile was laying. Chancy only noticed the crocodile as it was slipping into the water. Surrounding banks are eucalyptus",Water park above the weir. Play area right next to the weir. Chancy advised there is permanent signage near here.,Primarily fishing. Small boats can access the water above the weir. Kids were swimming in the area below the weir - which is known to be crocodile habitat.,low,"The kids were warned that this was crocodile habitat, however they just ignored him.",no,no,no,yes,no,no,no,no,no,yes,slowly,n/a,n/a,n/a,n/a,no,no,no,no,no,no,no,n/a
2010,2010008,12/1/2010,no,n/a,no,n/a,n/a,n/a,n/a,no,no,yes,no,no,Children and locals have been known to use the area for fishing. A permanent warning sign was placed at the site a few years ago following reports of locals wading through the creek. A local media story informing people of croc wise behaviour ran late last year following another sighting in Myrtle Creek.,no further action,n/a,n/a,12/1/2010,Crocodylus porsus,1,4,no,no,Myrtle Creek,-20.3786,149.5958,Myrtle Creek. Myrtle Creek runs off Proserpine River to the north.,"Sandy creek with melaleuca riparian vegetation. Surrounded by farm lands, creek veg changes to mangroves further downstream.",Locals fish in this area under the Shute Harbour Road Bridge. They have also been reported to trespass through local properties to fish off banks in creek.,"Boats are occasionally used in creek, however water levels are rarely high enough to allow access. Creek is mainly used for fishing from the banks by locals and their children.",low,People who use the creek are advised that crocs are seen in the area. Children have not been seen down by the creek recently.,yes,no,no,no,no,no,no,no,no,yes,no data,Swimming downstream (towards the Proserpine River).,n/a,n/a,n/a,yes,no,no,no,no,no,no,n/a
2010,2010009,14/01/2010,no,n/a,no,n/a,n/a,n/a,n/a,yes,no,yes,no,no,This crocodile sighting is located well south of the Boyne River at Tin Can Bay. The possible presence of a salt water crocodile of this size at this location represents a potential threat to human safety as it is outside the known distribution of saltwater crocodiles and the general public are not crocwise due to this factor. There are no permanent crocodile warning sign in this area.,no further action,n/a,n/a,14/01/2010,Crocodylus porsus,1,3,no,no,"Report made on 14/01/2009. Mr Lincoln advised DERM staff at the Rainbow Beach Office I believe when he was extending his camping permit for Inskip Point. The sighting is in an area locally known as Ready's Creek, verification of the name will be done. I was able to get an exact location by referring to Google Earth and talking with Mr Kirkman.",-25.82236,153.05251,Tin Can Bay - see attached image.,Tin Can Bay is a large open water tidal inlet which opens into the southern waters of the Sandy Straits. It has many small creeks and inlets.,"Inskip Point DERM camping ground, Tin Can Bay Township, Norman Point Boat Ram, Bullock Point Boat Ramp.",Camping. Fishing and crabbing. Swimming and beach activities possible on the bay side of Inskip Point. Families with children are currently frequenting nearby beaches due to the school holidays. Fisherman would wade into the water to collect bait and to fish.,moderate,"This area is frequently visited by large numbers of campers and fisherman during school holidays, and moderately at other times by local fishermen in small craft and people fishing from the shore.",yes,no,no,no,yes,no,no,no,no,yes,slowly,The crocodile was observed swimming on the surface of the water for around 20 seconds before submerging and then was not seen again.,n/a,n/a,n/a,no,no,yes,no,no,yes,yes,n/a
2010,2010010,13/01/2010,no,n/a,no,n/a,n/a,n/a,n/a,no,no,no,no,no,n/a,no further action,n/a,n/a,15/01/2010,Crocodylus porsus,1,2,no,no,"Small creek beside Ninds Ck, sitting near the road next to the driveway of the sewerage treatment plant the driveway runs alongside the creek.",no data,no data,n/a,small mangrove lined creek,Ninds ck bridge,fishing,low,A crocodile of similar size has been reported in the location previously. One of the previous reports was also of it on the road this time at night. It is possible it is trying to bask taking advantage of the extra warmth in the road but also for it to travel upstream it would be inclined to walk across the road as the raod cuts the creek forcing the water to flow through a small concrete pipe. It is unlikely the croc would swim through the pipe.,yes,no,no,no,no,no,no,no,no,no,no data,Unknown,n/a,n/a,n/a,no,no,no,no,no,no,no,n/a
